ss_code,product_name,price,currency
50-34,ORKS SHOKKJUMP DRAGSTA,51.0,USD
50-35,ORKS RUKKATRUKK SQUIGBUGGY,51.0,USD
50-36,ORKS MEGATRAKK SCRAPJET,51.0,USD
50-37,ORKS KUSTOM BOOSTA-BLASTA,51.0,USD
50-38,ORKS DEFFKILLA WARTRIKE,51.0,USD
50-39,ORKS BOOMDAKKA SNAZZWAGON,51.0,USD
51-01-03,CODEX: TYRANIDS (ABR.) (HB) (SPANISH),36.0,USD
51-01-60,CODEX: TYRANIDS (HB) (ENGLISH),41.0,USD
51-02-60,DATACARDS: TYRANIDS (ENGLISH),19.0,USD
51-06,TYRANID GENESTEALERS,37.0,USD
51-08,TYRANIDS HIVE TYRANT,61.0,USD
51-09,TYRANID TYRANNOFEX / TERVIGON,59.0,USD
51-12,TYRANID GARGOYLE BROOD,37.0,USD
51-13,TYRANID TRYGON/MAWLOC,81.0,USD
51-14,TYRANID HARPY,81.0,USD
51-16,TYRANIDS TERMAGANT BROOD,36.0,USD
51-17,TYRANID HORMAGAUNT BROOD,37.0,USD
51-18,TYRANID WARRIORS,56.0,USD
51-21,TYRANID TYRANNOCYTE,66.0,USD
51-22,TYRANID VENOMTHROPES,67.0,USD
51-23,TYRANID BROODLORD,41.0,USD
51-40-03,CODEX: GENESTEALER CULTS (ABR.) (HB) SPA,36.0,USD
51-40-60,CODEX: GENESTEALER CULTS (HB) (ENGLISH),41.0,USD
51-42-60,DATACARDS: GENESTEALER CULTS (ENGLISH),19.0,USD
51-44,GENESTEALER CULTS BIOPHAGUS,31.0,USD
51-45,GENESTEALER CULTS CLAMAVUS,31.0,USD
51-46,GENESTEALER CULTS LOCUS,31.0,USD
51-47,GENESTEALER CULTS MAGUS,31.0,USD
51-48,GENESTEALER CULTS NEXOS,31.0,USD
51-49,GENESTEALER CULTS SANCTUS,31.0,USD
51-50,GENESTEALER CULTS BROODCOVEN,61.0,USD
51-51,GENESTEALER CULTS ACOLYTE HYBRIDS,41.0,USD
51-52,GENESTEALER CULTS NEOPHYTE HYBRIDS,45.0,USD
51-53,GENESTEALER CULTS GOLIATH,61.0,USD
51-57,GENESTEALER CULTS BROOD BROTHERS,46.0,USD
51-59,GENESTEALER CULTS ABOMINANT,31.0,USD
51-60,GENESTEALER CULTS ABERRANTS,41.0,USD
51-61,GENESTEALER CULTS ACHILLES RIDGERUNNER,51.0,USD
51-62,GENESTEALER CULTS ATALAN JACKALS,56.0,USD
51-63,GENESTEALER CULTS JACKAL ALPHUS,39.0,USD
51-67,GENESTEALER CULTS KELERMORPH,31.0,USD
52-01,CODEX: ADEPTA SORORITAS (HB/ABR.) (SPA),36.0,USD
52-01,CODEX: ADEPTA SORORITAS (HB) (ENG),41.0,USD
52-02,DATACARDS: ADEPTA SORORITAS (ENGLISH),26.0,USD
52-08,ADEPTA SORORITAS IMMOLATOR,76.0,USD
52-09,ADEPTA SORORITAS EXORCIST,81.0,USD
52-10,OFFICIO ASSASSINORUM VINDICARE ASSASSIN,37.0,USD
52-11,OFFICIO ASSASSINORUM CULEXUS ASSASSIN,37.0,USD
52-13,OFFICIO ASSASSINORUM EVERSOR ASSASSIN,37.0,USD
52-15,ADEPTA SORORITAS IMAGIFIER,31.0,USD
52-16,ADEPTA SORORITAS DIALOGUS,36.0,USD
52-17,ADEPTA SORORITAS JUNITH ERUITA,46.0,USD
52-18,ADEPTA SORORITAS HOSPITALLER,36.0,USD
52-19,ADEPTA SORORITAS ARCO-FLAGELLANTS,51.0,USD
52-20,ADEPTA SORORITAS BATTLE SISTERS SQUAD,61.0,USD
52-21,ADEPTA SORORITAS CANONESS,36.0,USD
52-22,ADEPTA SORORITAS PENITENT ENGINES,61.0,USD
52-23,ADEPTA SORORITAS REPENTIA SQUAD,51.0,USD
52-24,A/SOROR.: THE TRIUMPH OF SAINT KATHERINE,111.0,USD
52-25,ADEPTA SORORITAS RETRIBUTOR SQUAD,56.0,USD
52-26,ADEPTA SORORITAS RHINO,61.0,USD
52-27,ADEPTA SORORITAS SERAPHIM SQUAD,56.0,USD
52-29,ADEPTA SORORITAS BATTLE SANCTUM,116.0,USD
52-42,LORD INQUISITOR KYRIA DRAXUS,36.0,USD
52-58,CELESTINE THE LIVING SAINT,56.0,USD
53-01,CODEX: SPACE WOLVES (ABR.) (HB) (SPA),26.0,USD
53-01,CODEX: SPACE WOLVES (HB) (ENGLISH),31.0,USD
53-02,DATACARDS: SPACE WOLVES (ENGLISH),16.0,USD
53-06,SPACE WOLVES GREY HUNTERS,49.0,USD
53-07,SPACE WOLVES WOLF GUARD TERMINATORS,55.0,USD
53-09,SPACE WOLVES THUNDERWOLF CAVALRY,58.0,USD
53-10,SPACE WOLVES FENRISIAN WOLVES,36.0,USD
53-11,SPACE WOLVES STORMFANG GUNSHIP,82.0,USD
53-12,SPACE WOLVES VENERABLE DREADNOUGHT,58.0,USD
53-16,SPACE WOLVES: WULFEN,61.0,USD
53-17,SPACE WOLVES ULRIK THE SLAYER,33.0,USD
53-19,SPACE WOLVES IRON PRIEST,33.0,USD
53-25,SPACE WOLVES PRIMARIS UPGRADES,15.0,USD
53-26,SPACE WOLVES HOUNDS OF MORKAI,46.0,USD
53-30,SPACE WOLVES: RAGNAR BLACKMANE,41.0,USD
53-37,COMBAT PATROL: SPACE WOLVES,141.0,USD
53-42-60,DATACARDS: ULTRAMARINES (ENGLISH),16.0,USD
53-43-60,DATACARDS: WHITE SCARS (ENGLISH),16.0,USD
